Publication Type;Authors;Author Full Names;Article Title;Source Title;Abstract;ORCIDs;ISSN;eISSN;Publication Date;Publication Year;Volume;Issue;Start Page;End Page;Article Number;DOI;DOI Link;Number of Pages npx supabase gen types typescript --project-id vgnteswwvallupuanfiz > lib/database.types.ts
J;"Langston, EM; Hattakitjamroen, V; Hernandez, M; Lee, HS; Mason, H�; Louis-Charles, W; Charness, N; Czaja, SJ; Rogers, WA; Sharit, J; Boot, WR";"Langston, Emily M.; Hattakitjamroen, Varitnan; Hernandez, Mario; Lee, Hye Soo; Mason, Hannah c.; Louis-Charles, Willencia; Charness, Neil; Czaja, Sara J.; Rogers, Wendy A.; Sharit, Joseph; Boot, Walter R.";Exploring artificial intelligence-powered virtual assistants to understand their potential to support older adults' search needs;HUMAN FACTORS IN HEALTHCARE;Objective: We investigated the accuracy and amount of information provided by artificial intelligence (AI)- powered virtual assistants in response to queries relevant to aging adults in the domains of Medicare, long-term care insurance, and resource access. Background: Older adults are faced with complex decisions and must gather and integrate information from diverse sources to help support these decisions (e.g., across various websites and online resources). Information- seeking, integration, and decision-making are cognitively demanding and can be impacted by age-related cognitive changes. Virtual assistants powered by AI have the potential to provide older adults with easy access to information and answers to their queries. However, it is unclear how accurate this information and these answers might be. Method: Alexa, Google Assistant, Bard, and ChatGPT-4 were queried. Coders assessed the accuracy of these responses, and the amount of supplemental information provided as a measure of response complexity. Results: Overall, Large Language Model (LLM)-based virtual assistants (Bard, ChatGPT-4) responded more accurately than non-LLM assistants (e.g., 6 % inaccurate responses for Bard vs. 60 % for Alexa) and provided substantially more supplemental information (79 % of responses with high supplemental information for Bard and 37 % for Chat-GPT, vs. 20 % or less for others). We note, however, that responses can vary over time. Conclusion: Based on their ability to provide largely accurate responses, LLMs may be helpful tools for older adults seeking information related to health, insurance, and available resources. However, the potential for error, high response complexity, and response variability should be considered. Application: LLM-based virtual assistants may be a helpful tool for older adults seeking information to support health and financial decisions.;"Rogers, Wendy/0000-0002-0787-2130; Lee, Hye Soo/0009-0005-3074-8233";;2772-5014;JUN;2025;7;;;;100092;10.1016/j.hfh.2025.100092;http://dx.doi.org/10.1016/j.hfh.2025.100092;
J;"Obuchi, SP; Kojima, M; Suzuki, H; Garbalosa, JC; Imamura, K; Ihara, K; Hirano, H; Sasai, H; Fujiwara, Y; Kawai, H";"Obuchi, Shuichi P.; Kojima, Motonaga; Suzuki, Hiroyuki; Garbalosa, Juan C.; Imamura, Keigo; Ihara, Kazushige; Hirano, Hirohiko; Sasai, Hiroyuki; Fujiwara, Yoshinori; Kawai, Hisashi";Artificial intelligence detection of cognitive impairment in older adults during walking;ALZHEIMER'S & DEMENTIA: DIAGNOSIS, ASSESSMENT & DISEASE MONITORING;"INTRODUCTION: To detect early cognitive impairment in community-dwelling older adults, this study explored the viability of artificial intelligence (AI)-assisted linear acceleration and angular velocity analysis during walking. METHODS: This cross-sectional study included 879 participants without dementia (female, 60.6%; mean age, 73.5 years) from the 2011 Comprehensive Gerontology Survey. Sensors attached to the pelvis and left ankle recorded the triaxial linear acceleration and angular velocity while the participants walked at a comfortable speed. Cognitive impairment was determined using Mini-Mental State Examination scores. Deep learning models were used to discern the linear acceleration and angular velocity data of 12,302 walking strides. RESULTS: The models' average sensitivity, specificity, and area under the curve were 0.961, 0.643, and 0.833, respectively, across 30 testing datasets. DISCUSSION: AI-enabled gait analysis can be used to detect signs of cognitive impairment. Integrating this AI model into smartphones may help detect dementia early, facilitating better prevention.";Kawai, Hisashi/0000-0003-3015-6041;;2352-8729;JUL;2024;16;3;;;e70012;10.1002/dad2.70012;http://dx.doi.org/10.1002/dad2.70012;
J;Al-Somali, SA;Al-Somali, Sabah Abdullah;Integrating artificial intelligence (AI) in healthcare: advancing older adults' health management in Saudi Arabia through AI-powered chatbots;PEERJ COMPUTER SCIENCE;Background The healthcare sector is experiencing rapid digital advancements, with patients increasingly seeking quick and seamless interactions. Artificial intelligence (AI)-driven healthcare chatbots are becoming an integral part of elderly care, transforming provider-patient engagement and supporting health behavior goals tailored to individual preferences, needs, and limitations. Methods This study developed a comprehensive research framework incorporating various theoretical perspectives to explore the determinants of sustained use of AI-powered healthcare chatbots among older adults. The framework also examined the mediating influence of perceived humanness. The model was evaluated using partial least squares structural equation modeling (PLS-SEM) on cross-sectional data collected from 158 individuals aged 60 and above. Results The findings show that satisfaction with AI-powered chatbots is significantly influenced by facilitating conditions, perceived hedonic motivation, confirmation, performance expectancy, and effort expectancy. Perceived security also plays a critical role in shaping satisfaction and the intention to continue using these chatbots. Moreover, the analysis revealed that perceived humanness mediates the relationship between satisfaction and continuous use intentions among elderly users in Saudi Arabia. Discussion This research provides valuable insights into the factors influencing older adults' acceptance of AI chatbots in Saudi Arabia, particularly in the post-COVID-19 era. These findings enrich academic discourse and offer actionable recommendations for healthcare organizations adapting to the evolving digital landscape.;;;2376-5992;MAR 27;2025;11;;;;e2773;10.7717/peerj-cs.2773;http://dx.doi.org/10.7717/peerj-cs.2773;
J;"Valencia-Londo�o, PA; Cardona-Rodas, H; Jim�nez-Builes, JA";"Valencia-Londono, Paula Andrea; Cardona-Rodas, Hilderman; Jimenez-Builes, Jovani A.";Artificial intelligence in education: advancing educational digital inclusion for adults older with diverse neuromuscular conditions;FRONTIERS IN EDUCATION;This research evaluates the potential of Artificial Intelligence (AI) interventions in promoting digital inclusion for older adults with neuromuscular conditions, aligning with Sustainable Development Goal (SDG) 4 for equitable education. Using a mixed-methods approach, we combined quantitative measures of digital literacy and engagement with qualitative insights into user experiences. The findings reveal statistically significant advancements in digital literacy (p < 0.001) and engagement metrics (p < 0.01), highlighting the transformative potential of adaptive learning platforms, virtual reality applications, and interactive mobile tools tailored for this population. Participants reported increased confidence and empowerment, emphasizing the importance of user-centered design and accessibility in technology development. While the study demonstrates short-term benefits, it acknowledges limitations, including a small sample size (n = 30) and the absence of longitudinal data. Future research should explore scalable implementations and long-term impacts, particularly for broader demographic groups and other disability types. These insights provide actionable recommendations for educators, developers, and policymakers aiming to reduce the digital divide and foster inclusive education.;;;2504-284X;JAN 20;2025;10;;;;1464030;10.3389/feduc.2025.1464030;http://dx.doi.org/10.3389/feduc.2025.1464030;
J;Trothen, TJ;Trothen, Tracy J.;Intelligent Assistive Technology Ethics for Aging Adults: Spiritual Impacts as a Necessary Consideration;RELIGIONS;Potential spiritual impacts of Artificial Intelligence (AI) driven Assistive Technologies (AT) for older adults are absent in most ethics conversations. Intelligent Assistive Technology (IAT) is the term used to describe the spectrum of Assistive Technologies that use AI. In this theoretical essay, I begin by introducing examples of AT and IAT for older adults with age-related disabilities. I argue that spirituality is a marginalized value in ethics that must be considered if IAT ethics is to address the whole person. Some of the potential spiritual impacts of IATs will be suggested through engagement with three core spiritual needs. I ask how IAT might impact these three core spiritual needs. This is not meant to be an exhaustive study of the spiritual impacts of AT. Through the engagement of one approach to spiritual needs, this article proposes that IAT ethics issues intersect with the spiritual needs of aging adults and, therefore, that potential spiritual impacts ought to be addressed as part of IAT ethics for older adults.;;;2077-1444;MAY;2022;13;5;;;452;10.3390/rel13050452;http://dx.doi.org/10.3390/rel13050452;
J;"Le, N; Sonka, M; Skeete, DA; Romanowski, KS; Galet, C";"Le, Nam; Sonka, Milan; Skeete, Dionne A.; Romanowski, Kathleen S.; Galet, Colette";Predicting admission for fall-related injuries in older adults using artificial intelligence: A proof-of-concept study;GERIATRICS & GERONTOLOGY INTERNATIONAL;"Aim: Pre-injury frailty has been investigated as a tool to predict outcomes of older trauma patients. Using artificial intelligence principles of machine learning, we aimed to identify a signature (combination of clinical variables) that could predict which older adults are at risk of fall-related hospital admission. We hypothesized that frailty, measured using the 5-item modified Frailty Index, could be utilized in combination with other factors as a predictor of admission for fall-related injuries. Methods: The National Readmission Database was mined to identify factors associated with admission of older adults for fall-related injuries. Older adults admitted for trauma-related injuries from 2010 to 2014 were included. Age, sex, number of chronic conditions and past fall-related admission, comorbidities, 5-item modified Frailty Index, and medical insurance status were included in the analysis. Two machine learning models were selected among six tested models (logistic regression and random forest). Using a decision tree as a surrogate model for random forest, we extracted high-risk combinations of factors associated with admission for fall-related injury. Results: Our approach yielded 18 models. Being a woman was one of the factors most often associated with admission for fall-related injuries. Frailty appeared in four of the 18 combinations. Being a woman, aged 65-74 years and presenting a 5-item modified Frailty Index score >3 predicted admission for fall-related injuries in 80.3% of this population. Conclusion: Using artificial intelligence principles of machine learning, we were able to develop 18 signatures allowing us to identify older adults at risk of admission for fall-related injuries. Future studies using other databases, such as TQIP, are warranted to validate our high-risk combination models. Geriatr Gerontol Int 2025; center dot center dot: center dot center dot-center dot center dot.";galet, colette/0000-0002-5931-2143;1444-1586;1447-0594;FEB;2025;25;2;232;242;;10.1111/ggi.15066;http://dx.doi.org/10.1111/ggi.15066;
J;"Bernal, MC; Batista, E; Martinez-Ballest�, A; Solanas, A";"Bernal, Mary Carlota; Batista, Edgar; Martinez-Balleste, Antoni; Solanas, Agusti";Artificial intelligence for the study of human ageing: a systematic literature review;APPLIED INTELLIGENCE;As society experiences accelerated ageing, understanding the complex biological processes of human ageing, which are affected by a large number of variables and factors, becomes increasingly crucial. Artificial intelligence (AI) presents a promising avenue for ageing research, offering the ability to detect patterns, make accurate predictions, and extract valuable insights from large volumes of complex, heterogeneous data. As ageing research increasingly leverages AI techniques, we present a timely systematic literature review to explore the current state-of-the-art in this field following a rigorous and transparent review methodology. As a result, a total of 77 articles have been identified, summarised, and categorised based on their characteristics. AI techniques, such as machine learning and deep learning, have been extensively used to analyse diverse datasets, comprising imaging, genetic, behavioural, and contextual data. Findings showcase the potential of AI in predicting age-related outcomes, developing ageing biomarkers, and determining factors associated with healthy ageing. However, challenges related to data quality, interpretability of AI models, and privacy and ethical considerations have also been identified. Despite the advancements, novel approaches suggest that there is still room for improvement to provide personalised AI-driven healthcare services and promote active ageing initiatives with the ultimate goal of enhancing the quality of life and well-being of older adults.Graphical abstractOverview of the literature review.;"Bernal, Mary Carlota/0000-0001-7565-2909; Martinez-Balleste, Antoni/0000-0002-1787-7410; Solanas, Agusti/0000-0002-4881-6215";0924-669X;1573-7497;NOV;2024;54;22;11949;11977;;10.1007/s10489-024-05817-z;http://dx.doi.org/10.1007/s10489-024-05817-z;
J;"Adogwa, O; Reid, MC; Chilakapati, S; Makris, UE";"Adogwa, Owoicho; Reid, M. Cary; Chilakapati, Sai; Makris, Una E.";Clin-STAR corner: 2021 update in musculoskeletal pain in older adults with a focus on osteoarthritis-related pain;JOURNAL OF THE AMERICAN GERIATRICS SOCIETY;"Chronic musculoskeletal (MSK) pain remains a leading cause of disability and functional impairment among older adults and is associated with substantial societal and personal costs. Chronic pain is particularly challenging to manage in older adults because of multimorbidity, concerns about treatment-related harm, as well as older adults' beliefs about pain and its management. This narrative review presents data on nine high-quality, peer-reviewed clinical trials published primarily over the past two years that focus on MSK pain management in older adults, of which four were comprehensively reviewed. These studies address contributors to knee osteoarthritis (OA) pain (insomnia), provide evidence for digital delivery or artificial intelligence driven behavioral interventions and potentially more efficient/equally effective modes of delivering glucocorticoids for OA; each of the selected studies have potential for scalability and meaningful impact in the care of older adults.";;0002-8614;1532-5415;AUG;2023;71;8;2373;2380;;10.1111/jgs.18369;http://dx.doi.org/10.1111/jgs.18369;
J;"Yang, DP; Wang, JQ; Huang, L; Wang, TL";"Yang, Dapeng; Wang, Junqi; Huang, Li; Wang, Tongling";Wireless sensor network-based health monitoring and smart home assistance for the older adults in sports and wellness towns;FRONTIERS IN PUBLIC HEALTH;Background Integrating technology with rural development is essential for addressing the unique challenges faced by aging populations in rural areas. China's national rural revitalization strategy emphasizes the importance of developing characteristic towns that focus on health and wellness demands, particularly for the older adults. However, there is a gap in the literature regarding the systematic use of technology to support the health and daily living needs of this demographic.Objective This study aims to bridge this gap by proposing a wireless sensor network (WSN)-based system that integrates health monitoring and smart home assistance, specifically tailored for older adults residents in sports and wellness towns.Methods The system's design involves collecting and analyzing historical activity data and basic physiological parameters from older adults residents' homes. The data are cleaned, combined and stored to prepare it for behavior analysis, which is vital for controlling smart home equipment. Preliminary health assessments are conducted using the collected physiological data. A hybrid network leveraging Sub-G and Wi-Fi technologies is optimized for the purposes of collecting and uploading data, based on a comparative analysis of wireless communication options.Significance This study significantly contributes to the advancement of sports and wellness towns by promoting healthy aging through cutting-edge technological solutions.;;;2296-2565;OCT 23;2024;12;;;;1399648;10.3389/fpubh.2024.1399648;http://dx.doi.org/10.3389/fpubh.2024.1399648;
J;Ko�, M;Koc, Murat;ARTIFICIAL INTELLIGENCE IN GERIATRICS;TURKISH JOURNAL OF GERIATRICS-TURK GERIATRI DERGISI;The increasing elderly population globally presents challenges in geriatric healthcare, including better resources, unmet healthcare needs, and sustainability of health and social security systems. Artificial intelligence (AI) is being used to address these challenges, with studies focusing on socially assistive robots, humanoid robots, and robotic pets in elderly care.This review aims to provide a comprehensive overview of the roles of artificial intelligence (AI) technologies in elderly healthcare by identifying the potential benefits and challenges in geriatric healthcare services. AI technologies can potentially improve care and health outcomes for older adults, promote healthy aging, and alleviate the burden on the healthcare system. Moreover, AI systems can assist healthcare providers in assessing potential drug interactions, identifying medication errors, and optimizing medication regimens to minimize side effects and enhance overall patient safety. In addition, AI-supported robots can provide caregivers personalized and efficient care while providing rehabilitation and mobility support for the elderly. Collaboration between healthcare professionals and artificial intelligence holds significant potential to facilitate more effective delivery of care, improve patient outcomes, and optimize health resources for the increasingly aging population.;Koc, Murat/0000-0003-4555-2151;1304-2947;1307-9948;;2023;26;4;352;360;;10.29400/tjgeri.2023.362;http://dx.doi.org/10.29400/tjgeri.2023.362;
