Publication Type;Authors;Author Full Names;Title;Jurnal;Abstract;ORCIDs;ISSN;eISSN;ISBN;Publication Date;Publication_Year;Volume;Issue;Special Issue;Start Page;End Page;Article Number;DOI;DOI Link;UT (Unique WOS ID)
J;"Higgins, H; Gupta, N";"Higgins, Heather; Gupta, Neeru";Characterizing social and policy determinants of hospital length of stay among paediatric inpatients with diabetes using linked population-based data;INTERNATIONAL JOURNAL OF POPULATION DATA SCIENCE (IJPDS);Background Evidence is limited on the non-medical factors influencing hospital length of stay (LOS) among paediatric inpatients with diabetes, notably potential social and policy correlates. This study aimed to characterize the associations of socioeconomic status and health policy environment with diabetes-attributable LOS to help inform accountability monitoring of a provincial comprehensive diabetes strategy aiming to minimize time in hospital among this high-risk population. Data and methods This retrospective population-based study drew on multiple linked administrative and geospatial databases among all children aged 18 and under with a diabetes-related hospitalization in the province of New Brunswick, Canada, during the four-year period following implementation of an insulin pump funding program. Multiple linear regression was used to assess the role of access to the public insulin pump resourcing scheme and relative neighbourhood deprivation as predictors of days spent in acute care, controlling for age, sex, and place of residence. Results Among the paediatric inpatient population (N =386), 21% had accessed social resources made available through the insulin pump funding policy and 42% resided in the most materially deprived neighbourhoods. Diabetes-related hospital stays averaged 3.87 days. Paediatric inpatients having accessed resources through the social insurance policy spent significantly fewer days in hospital (1.34 days less [95% CI: 0.63-2.05]) than those who had not, all else being equal. Observed differences in LOS by neighbourhood socioeconomic deprivation were not found to be statistically significant in the multivariate analysis. Conclusion Findings from this context of universal medical coverage suggested that public policy for supplemental financing of assistive technologies among children with diabetes may be associated with reduced burden to the hospital system. The causes of socioenvironmental disparities in LOS require further investigation to inform interventions to mitigate preventable patient-level variations in hospital-based health outcomes.;;;2399-4908;;;2021;6;1;;;;6:1:22;10.23889/ijpds.v6i1.1678;http://dx.doi.org/10.23889/ijpds.v6i1.1678;WOS:000894823500032
J;Sriwisathiyakun, K;Sriwisathiyakun, Kanyarat;A MOOC-INTEGRATED DESIGN THINKING MODEL FOR HEARING-IMPAIRED LEARNERS;JOURNAL OF INFORMATION TECHNOLOGY EDUCATION-RESEARCH;Aim/Purpose This study aims to introduce an innovative approach to improving learning outcomes for hearing-impaired learners (HL) within inclusive education settings. By integrating design thinking principles into Massive Open Online Courses (MOOCs) specifically designed for HL, this research seeks to address their unique educational needs. The study examines the components of a design thinking model within MOOCs for HL and evaluates the effectiveness of the pilot course in enhancing their learning experience and achieving the required test scores. Background The persistent educational disparities faced by HL necessitate innovative solutions within inclusive education. By employing a design thinking approach, educational tools were developed specifically for these learners, with the empathy phase profoundly understanding and addressing their unique needs and desires. This study aims to bridge this gap by leveraging design thinking principles and MOOCs tailored for HL alongside instructional strategies and Universal Design for Learning (UDL) techniques. Methodology The study unfolds in three primary phases: Model Development, Model Assessment, and Model Piloting. In the Model Development phase, design thinking principles are integrated with Thai MOOC development, instructional strategies, and UDL techniques to create the initial model. The Model Assessment phase involves expert evaluations to validate and refine the model based on their feedback. Finally, in the Model Piloting phase, the refined model is tested with learners, and assessments are conducted to evaluate its practical applicability and effectiveness in a real-world setting. Contribution This research contributes significantly to reducing educational inequalities and advancing inclusive education. By introducing a model that integrates design thinking principles into MOOCs tailored for HL, it promotes lifelong learning opportunities and aligns with broader societal efforts to address educational dis- parities. Findings Key findings from the study include the development of a comprehensive six- stage model and its essential co-components, which received high suitability rat- ings from expert evaluations. The model's application resulted in an impressive pass rate among learners, highlighting its effectiveness in enhancing learning outcomes. These results demonstrate the model's potential to impact inclusive education significantly by providing a scalable and effective framework for inte- grating design thinking into MOOC development. Furthermore, it creates courses that effectively meet the diverse needs of learners, ensuring accessibility and improved learning experiences for all. Recommendations for Practitioners Recommendations for Researchers Practitioners should adopt design thinking and UDL principles in MOOC de- velopment, ensuring courses are tailored to HL needs. Engage HL communities for relevant feedback and focus on accessibility with assistive technologies. Im- plement scalable solutions for broader impact and regularly assess course effec- tiveness to promote lifelong learning opportunities. Researchers should continue to explore and refine the developed model, con- sidering its application across diverse educational contexts and populations. Collaboration with HL communities and stakeholders can provide valuable in- sights for enhancing the effectiveness of inclusive education interventions. Impact on Society The integration of design thinking principles into MOOCs tailored for HL has a profound impact on society by promoting equal educational opportunities and lifelong learning. By addressing educational disparities, this research contributes to creating a more inclusive and equitable society. Future Research Future research could focus on longitudinal studies to assess the long-term im- pact of the model for HL. Additionally, exploring innovative technologies and pedagogical approaches can enhance the effectiveness of inclusive education in- terventions. Collaborative research efforts across disciplines can advance the field of inclusive education and foster continuous improvement in learning out- comes for diverse populations.;Sriwisathiyakun, Kanyarat/0000-0002-4533-6400;1547-9714;1539-3585;;;2024;23;;;;;23;10.28945/5368;http://dx.doi.org/10.28945/5368;WOS:001312611200001
J;"Tongprasert, S; Namchandee, A; Sotthipoka, K; Kammuang-Lue, P";"Tongprasert, S.; Namchandee, A.; Sotthipoka, K.; Kammuang-lue, P.";Reliability of the International Spinal Cord Injury Upper Extremity Basic Data Set;SPINAL CORD;"Study design It is a psychometrics study. Objective To assess the inter-rater reliability of the International Spinal Cord Injury Upper Extremity Basic Data Set (ISCIUE). Setting Maharaj Nakorn Chiang Mai Hospital, Chiang Mai, Thailand. Methods Individuals with subacute and chronic cervical spinal cord injury (SCI) were recruited. One examiner rated five parts of the ISCI-UE, including the ability to reach and grasp, the shoulder function classification, utilization of adaptive devices used to enhance upper-extremity function, complications affecting upper-extremity function, and upper extremity/hand reconstructive surgery. A second blinded examiner repeated the procedures within 1 day. Quadratic weighted kappa was calculated to determine the inter-rater reliability. Results Sixty participants were included in the study. Fifty-two patients were men, and the mean (SD) age of participants was 42.9 (14.3) years. The median (interquartile range) time since injury was 9.5 (1-53) months. A total of 117 upper limbs were assessed. The inter-rater reliability was substantial, with almost perfect agreement in all items (ability to reach and grasp = 0.98; shoulder function classification = 0.97; use of assistive devices = 0.89; complications = 0.74; and surgery = 1). Conclusion The International Spinal Cord Injury Upper Extremity Basic Data Set (ISCI-UE) has very good inter-rater reliability for evaluating individuals with cervical SCI.";"Tongprasert, Siam/0000-0003-0497-4585; Kammuang-lue, Pratchayapon/0000-0002-2445-4475";1362-4393;1476-5624;;SEP;2018;56;9;;913;918;;10.1038/s41393-018-0154-3;http://dx.doi.org/10.1038/s41393-018-0154-3;WOS:000443983000010
J;"Buccino, AP; Keles, HO; Omurtag, A";"Buccino, Alessio Paolo; Keles, Hasan Onur; Omurtag, Ahmet";Hybrid EEG-fNIRS Asynchronous Brain-Computer Interface for Multiple Motor Tasks;PLOS ONE;Non-invasive Brain-Computer Interfaces (BCI) have demonstrated great promise for neu-roprosthetics and assistive devices. Here we aim to investigate methods to combine Electroencephalography (EEG) and functional Near-Infrared Spectroscopy (fNIRS) in an asynchronous Sensory Motor rhythm (SMR)-based BCI. We attempted to classify 4 different executed movements, namely, Right-Arm-Left-Arm-Right-Hand-Left-Hand tasks. Previous studies demonstrated the benefit of EEG-fNIRS combination. However, since normally fNIRS hemodynamic response shows a long delay, we investigated new features, involving slope indicators, in order to immediately detect changes in the signals. Moreover, Common Spatial Patterns (CSPs) have been applied to both EEG and fNIRS signals. 15 healthy subjects took part in the experiments and since 25 trials per class were available, CSPs have been regularized with information from the entire population of participants and optimized using genetic algorithms. The different features have been compared in terms of performance and the dynamic accuracy over trials shows that the introduced methods diminish the fNIRS delay in the detection of changes.;"Keles, Hasan Onur/0000-0002-1892-520X; Keles, Hasan Onur/0000-0001-8493-2582; Buccino, Alessio/0000-0003-3661-527X; OMURTAG, AHMET/0000-0002-3773-8506";1932-6203;;;JAN 5;2016;11;1;;;;e0146610;10.1371/journal.pone.0146610;http://dx.doi.org/10.1371/journal.pone.0146610;WOS:000367801400193
J;"Endo, S; Fröhner, J; Music, S; Hirche, S; Beckerle, P";"Endo, Satoshi; Froehner, Jakob; Music, Selma; Hirche, Sandra; Beckerle, Philipp";Effect of External Force on Agency in Physical Human-Machine Interaction;FRONTIERS IN HUMAN NEUROSCIENCE;In the advent of intelligent robotic tools for physically assisting humans, user experience, and intuitiveness in particular have become important features for control designs. However, existing works predominantly focus on performance-related measures for evaluating control systems as the subjective experience of a user by large cannot be directly observed. In this study, we therefore focus on agency-related interactions between control and embodiment in the context of physical human-machine interaction. By applying an intentional binding paradigm in a virtual, machine-assisted reaching task, we evaluate how the sense of agency of able-bodied humans is modulated by assistive force characteristics of a physically coupled device. In addition to measuring how assistive force profiles influence the sense of agency with intentional binding, we analyzed the sense of agency using a questionnaire. Remarkably, our participants reported to experience stronger agency when being appropriately assisted, although they contributed less to the control task. This is substantiated by the overall consistency of intentional binding results and the self-reported sense of agency. Our results confirm the fundamental feasibility of the sense of agency to objectively evaluate the quality of human-in-the-loop control for assistive technologies. While the underlying mechanisms causing the perceptual bias observed in the intentional binding paradigm are still to be understood, we believe that this study distinctly contributes to demonstrating how the sense of agency characterizes intuitiveness of assistance in physical human-machine interaction.;;1662-5161;;;MAY 8;2020;14;;;;;114;10.3389/fnhum.2020.00114;http://dx.doi.org/10.3389/fnhum.2020.00114;WOS:000536781000001
J;"Sarkar, AR; Sanyal, G; Majumder, S";"Sarkar, Arpita Ray; Sanyal, Goutam; Majumder, Somajyoti";Participatory design for selection of icons to represent daily activities of living for a vision-based rehabilitation-cum-assistance system for locked-in patients;DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY;Purpose: The majority of rehabilitation systems for locked-in patients are used for therapeutic purposes. However, round-the-clock assistance and support are essential after discharge from hospitals or nursing homes. This inspired us to develop a round-the-clock rehabilitation-cum-assistance system operated by eye gazes of locked-in patients. To do this, we aimed to identify the essential daily activities of living for locked-in patients and represent these activities using the most universally acceptable icons/images on the interface for the rehabilitation-cum-assistance system. Method: Activities were selected from available conventions and literature with advice from a local physiotherapy centre. Simple arithmetic averages and weighted averages of recognition rates for different icons representing different daily activities were calculated as per ISO 3864. Universal acceptability of the icons was compared based on responses from 72 locked-in patients across five different age groups. The final icons or images were then selected. Results: Three icons were categorized as identifiable with overall average recognition rates above 66.7%. Icons with average recognition rates 30-60% were considered to have medium recognisability and 21 icons were in this category. The average recognition rates of six icons were below 30% and were not acceptable. An overall recognition efficiency of 91% was achieved for participants from all age groups. Conclusions: The most preferred and unambiguous icons or images representing the essential daily activities of living were identified for use on the interface of our rehabilitation-cum-assistance system for round-the-clock operation. IMPLICATIONS FOR REHABILITATION Performing some of the daily activities by locked-in patients himself/herself is essential for self-independence as well as measures the level of regular improvement. Assistive technologies have huge potential for application for the purpose, especially the vision-based systems. Present technology is useful for development of a vision-based rehabilitation-cum-assistance system for 24 x 7 assistance for the locked-in patients. A new approach for real-time, user-based field evaluation of icons representing daily activities of living using statistical method of averaging of the recognition rates.;RAY SARKAR, ARPITA/0000-0001-6629-2059;1748-3107;1748-3115;;APR 2;2020;15;3;;282;291;;10.1080/17483107.2019.1568593;http://dx.doi.org/10.1080/17483107.2019.1568593;WOS:000519216900004
J;"Courtney, KL; Demiris, G; Hensel, BK";"Courtney, Karen L.; Demiris, George; Hensel, Brian K.";Obtrusiveness of information-based assistive technologies as perceived by older adults in residential care facilities: A secondary analysis;MEDICAL INFORMATICS AND THE INTERNET IN MEDICINE;With the anticipated growth in the older adult population in the next few years, information designers are examining new ways for assistive technologies to support independent living and quality of life for adults as they age. Central to the role of assistive technology to support and enhance quality of life is the development of non-obtrusive technologies. Despite the importance of non-obtrusiveness to the design of assistive technologies, there remains no standard definition of obtrusiveness or measurement instrument. A conceptual framework for obtrusiveness in home telehealth technologies has recently been proposed but has not yet been tested empirically. This project performed a secondary analysis of focus group and interview data to explore the presence of the dimensions of the obtrusiveness framework in older adults' responses to information-based assistive technologies in residential care facilities. We found the existing data contained examples of each dimension (physical, usability, privacy, function, human interaction, self-concept, routine, and sustainability) and 16 of the 22 subcategories proposed by the obtrusiveness framework. These results provide general support for the framework, although further prospective validation research is needed. Potential enhancements to the framework are proposed.;"Demiris, George/0000-0002-6318-5829; Courtney, Karen L./0000-0001-9326-116X";1463-9238;;;SEP;2007;32;3;;241;249;;10.1080/14639230701447735;http://dx.doi.org/10.1080/14639230701447735;WOS:000249763600007
J;"Kaye, HS; Yeager, P; Reed, M";"Kaye, H. Stephen; Yeager, Patricia; Reed, Myisha";Disparities in Usage of Assistive Technology Among People With Disabilities;ASSISTIVE TECHNOLOGY;Assistive technology is essential to the lives of many people with disabilities, but disparities in usage put certain segments of the disability population at a particular disadvantage. This article uses survey data and statistical modeling to explore differences in technology usage across disability subpopulations. Responses to a 2005 survey of nearly 2,000 adult consumers of California Independent Living Centers reveal large differences in technology usage by age, race, ethnicity, education, income, and type and severity of disability. Statistical modeling of overall device usage, number of devices used, and usage of high-, medium-, and low-tech devices reveals several factors that appear to put people with disabilities at a disadvantage in accessing and using assistive devices. These factors include lower educational attainment, racial or ethnic minority status, lower household income, later disability onset, and disability related to mental as opposed to physical or sensory functioning. Findings highlight approaches needed to expand usage of and to promote equal access to technologies that enable greater social and economic participation for people with disabilities.;Kaye, H Stephen/0000-0003-2920-3007;1040-0435;;;WIN;2008;20;4;;194;203;;10.1080/10400435.2008.10131946;http://dx.doi.org/10.1080/10400435.2008.10131946;WOS:000261938400002
J;"Spits, AH; Rozevink, SG; Balk, GA; Hijmans, JM; van der Sluis, CK";"Spits, A. H.; Rozevink, S. G.; Balk, G. A.; Hijmans, J. M.; van der Sluis, C. K.";Stroke survivors' experiences with home-based telerehabilitation using an assistive device to improve upper limb function: a qualitative study;DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY;Purpose Patients in the chronic phase after stroke often lack the possibility to intensively train their upper limb function. Assistive devices can be a solution to training intensively at home. This qualitative study investigated stroke survivors' experiences regarding training using the hoMEcare aRm rehabiLItatioN (MERLIN) system, an assistive device and telecare platform. We investigated patients' perspectives regarding the home-based training with the MERLIN system, on the International Classification of Functioning, Disability and Health (ICF) domains and the facilitators and barriers of the MERLIN system. Methods Eleven patients in the chronic phase of stroke who completed the MERLIN trial took part in semi-structured interviews. Interviews were analysed using the framework method. Results Participants were in general positive about the device and the training. Several experienced positive effects on ICF body functions, such as joint range of motion and self-confidence. Some experienced improvements in activities, but not on participation level. Home training had advantages: flexibility in training time and duration and no need to travel. The major barriers were technical hard- and software issues and ergonomic complaints. A list of recommendations regarding assistive devices and home-based rehabilitation was created. Conclusions Homebased training using an assistive device was well received by stroke patients to train their upper limb function. Future device developers should take patients' feedback into account to overcome the barriers related to the introduction of new assistive devices at home. Our recommendations may be the first step to implementing patients' perspectives during the early stages of device development.;"van der Sluis, Corry K./0000-0003-2141-8214; Rozevink, Samantha/0000-0002-4992-1578";1748-3107;1748-3115;;APR 2;2024;19;3;;730;738;;10.1080/17483107.2022.2120641;http://dx.doi.org/10.1080/17483107.2022.2120641;WOS:000859148000001
J;"Möller, M; Borg, K; Janson, C; Lerm, M; Normark, J; Niward, K";"Moller, Marika; Borg, Kristian; Janson, Christer; Lerm, Maria; Normark, Johan; Niward, Katarina";Cognitive dysfunction in post-COVID-19 condition: Mechanisms, management, and rehabilitation;JOURNAL OF INTERNAL MEDICINE;The long-term effects of COVID-19 on cognitive function have become an area of increasing concern. This paper provides an overview of characteristics, risk factors, possible mechanisms, and management strategies for cognitive dysfunction in post-COVID-19 condition (PCC).Prolonged cognitive dysfunction is one of the most common impairments in PCC, affecting between 17% and 28% of the individuals more than 12 weeks after the infection and persisting in some cases for several years. Cognitive dysfunctions can be manifested as a wide range of symptoms including memory impairment, attention deficit, executive dysfunction, and reduced processing speed. Risk factors for developing PCC, with or without cognitive impairments, include advanced age, preexisting medical conditions, and the severity of acute illness. The underlying mechanisms remain unclear, but proposed contributors include neuroinflammation, hypoxia, vascular damage, and latent virus reactivation not excluding the possibility of direct viral invasion of the central nervous system, illustrating complex viral pathology.As the individual variation of the cognitive impairments is large, a neuropsychological examination and a person-centered multidimensional approach are required. According to the World Health Organization, limited evidence on COVID-19-related cognitive impairments necessitates implementing rehabilitation interventions from established practices of similar conditions. Psychoeducation and compensatory skills training are recommended. Assistive products and environmental modifications adapted to individual needs might be helpful. In specific attention- and working memory dysfunctions, cognitive training-carefully monitored for intensity-might be effective for people who do not suffer from post-exertional malaise. Further research is crucial for evidence-based interventions specific to COVID-19-related cognitive impairments. image;Moller, Marika/0000-0001-8700-5186;0954-6820;1365-2796;;NOV;2023;294;5;;563;581;;10.1111/joim.13720;http://dx.doi.org/10.1111/joim.13720;WOS:001074081200001
J;"Haltaufderheide, J; Lucht, A; Strünck, C; Vollmann, J";"Haltaufderheide, Joschka; Lucht, Annika; Strunck, Christoph; Vollmann, Jochen";Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective;SCIENCE AND ENGINEERING ETHICS;Socially assistive devices such as care robots or companions have been advocated as a promising tool in elderly care in Western healthcare systems. Ethical debates indicate various challenges. An important part of the ethical evaluation is to understand how users interact with these devices and how interaction influences users' perceptions and their ability to express themselves. In this review, we report and critically appraise findings of non-comparative empirical studies with regard to these effects from an ethical perspective.Electronic databases and other sources were queried using a comprehensive search strategy generating 9851 records. Studies were screened independently by two authors. Methodological quality of studies was assessed. For 22 reports on 21 datasets using a non-comparative design a narrative synthesis was performed.Data shows positive findings in regard to attitudes and emotional reactions of users. Varying perception of a social relation and social presence are the most commonly observed traits of interaction. Users struggle with understanding technical complexities while functionality of the devices is limited. This leads to a behavioral alignment of users towards the requirements of the devices to be able to make use of them.This evidence adds to three important ethical debates on the use of socially assistive devices in healthcare in regard to (1) reliability of existing empirical evidence to inform normative judgements, (2) ethical significance of the social presence of devices and (3) user autonomy in regard to behavioral alignment.;Haltaufderheide, Joschka/0000-0002-5014-4593;1353-3452;1471-5546;;FEB;2023;29;1;;;;5;10.1007/s11948-022-00419-9;http://dx.doi.org/10.1007/s11948-022-00419-9;WOS:000924757300001
J;"Ko, CY; Kim, SB; Choi, HJ; Chang, Y; Kang, S; Heo, Y; Ryu, J; Kim, G; Mun, M";"Ko, Chang-Yong; Kim, Sol-Bi; Choi, Hyuk-Jae; Chang, Yunhee; Kang, Sungjae; Heo, Yoon; Ryu, Jeicheong; Kim, Gyoosuk; Mun, Museong";Assessment of forearm and plantar foot load in the elderly using a four-wheeled walker with armrest and the effect of armrest height;CLINICAL INTERVENTIONS IN AGING;"Background: Patients with hand and/or wrist pathology are recommended to have a four-wheeled walker with an arm rest (FWW-AR) rather than a standard walker or a standard four-wheeled walker (FWW). However, only a few quantitative studies have been performed to compare upper and lower extremity weight bearing. The aim of this study was to evaluate forearm and foot weight bearing using a FWW-AR and the effect of the armrest height. Methods: Eleven elderly women (mean age 80.1 +/- 5.3 years; mean height 148.5 +/- 4.0 cm; mean weight 51.2 +/- 9.0 kg) were enrolled. The subjects walked with an FWW-AR, with the elbow in either 90 degree (D90) or 130 degree (D130) flexion, for a distance of 10 m. Surface electromyographic signals were recorded for the upper, middle, and lower trapezius, anterior deltoid, and erector spinae muscles; walking velocity was measured with the subjects weight bearing on their feet and forearms while walking. Simultaneously, the maximum plantar and forearm loads during walking with an FWW-AR were measured. Results: The normalized foot plantar loads were lower at D90 than at D130, while the normalized forearm load was higher at D90 than at D130 (all P<0.05; left foot, 7.9 +/- 0.1 N/kg versus 8.8 +/- 0.1 N/kg; right foot, 8.6 +/- 0.2 N/kg versus. 9.6 +/- 0.1 N/kg; left forearm, 1.8 +/- 0.5 N/kg versus 0.8 +/- 0.2 N/kg; and right forearm, 2.0 +/- 0.5 N/kg versus 1.0 +/- 0.2 N/kg, respectively). The surface electromyographic activity of the muscles involved in shoulder elevation and the walking velocity were both lower with the elbow at D90 than at D130 (all P. 0.05; left upper trapezius, 98.7%+/- 19.5% versus 132.6%+/- 16.9%; right upper trapezius, 83.4%+/- 10.6% versus 108.1%+/- 10.5%; left anterior deltoid, 94.1%+/- 12.8% versus 158.6%+/- 40.4%; right anterior deltoid, 99.1%+/- 15.0% versus 151.9%+/- 19.4%; and velocity, 0.6 +/- 0.1 m/sec versus 0.7 +/- 0.1 m/sec, respectively). Conclusion: Weight bearing on the lower extremities is significantly reduced when the upper extremities are supported during walking with an FWW-AR. Furthermore, the weight bearing profile is dependent on the armrest height.";ko, chang-yong/0000-0002-8164-5120;1178-1998;;;;2014;9;;;1759;1765;;10.2147/CIA.S70722;http://dx.doi.org/10.2147/CIA.S70722;WOS:000343100000001
J;"Nayak, A; Bhave, AC; Misri, Z; Unnikrishnan, B; Mahmood, A; Joshua, AM; Karthikbabu, S";"Nayak, Akshatha; Bhave, Aishwarya C. C.; Misri, Zulkifli; Unnikrishnan, Bhaskaran; Mahmood, Amreen; Joshua, Abraham M. M.; Karthikbabu, Suruliraj";Facilitators and barriers of community reintegration among individuals with stroke: a scoping review;EUROPEAN JOURNAL OF PHYSIOTHERAPY;PurposeThis scoping review attempts to identify the factors influencing community reintegration (CR) among individuals with stroke and classify them as facilitators and barriers.MethodsA thorough search was run through PubMed, Scopus, Cochrane, ProQuest, EMBASE, CINHAL, and PEDRO for studies published from 2014 to August 2021. The review was based on Preferred Reporting Items for Systematic Review and Meta-analysis for Scoping Reviews (PRISMA-ScR) guidelines. The retrieved articles were screened for title and abstract using the Rayyan QCRI software. The quality of the included studies was determined using National Heart, Lung, and Blood Institute (NIH) tool.ResultsOf the 1466 studies retrieved, 14 that included 1383 stroke individuals fulfilled the eligibility criteria and were selected for review. Based on the scores obtained on the NIH tool for quality assessment, the methodological quality of 6 studies was found to be good, and remaining 8 were fair. Individuals with better motor function, good balance, greater functional independence and quality of life, optimal support from the family and community, longer post-stroke duration, higher levels of education, and employment had higher CR and hence were facilitators of CR. Older age, diabetes mellitus, smoking, severe stroke, impaired cognition, depression, falls, gait impairments, and use of assistive devices were identified as barriers to CR.ConclusionThe review identified factors that were either facilitators or barriers to CR. A multidisciplinary rehabilitation addressing modifiable facilitators and barriers such as motor function, balance, fear of fall, functional dependence, depression, comorbidities, and impaired cognition is necessary to improve CR in stroke survivors.;"Karthikbabu, Suruliraj/0000-0002-7513-0606; Unnikrishnan, Bhaskaran/0000-0003-0892-8551; joshua, abraham/0000-0001-8492-0661; Mahmood, Dr. Amreen/0000-0002-2803-3598";2167-9169;2167-9177;;SEP 3;2023;25;5;;291;304;;10.1080/21679169.2022.2156599;http://dx.doi.org/10.1080/21679169.2022.2156599;WOS:000912717500001
J;"Huang, XJ; Sun, M; Song, Y; Li, CY; Jin, R; Sun, HQ; Wang, WL; Zhang, Q; Lu, J";"Huang, Xiaojing; Sun, Mei; Song, Yu; Li, Chengyue; Jin, Rong; Sun, Heqi; Wang, Weili; Zhang, Qi; Lu, Jun";Do online applications for free assistive technology devices by individuals with disabilities introduce moral hazard? Evidence from Shanghai, China;INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT;Objectives To examine whether moral hazard may exist under unsupervised home-based online applications, leading to more assistive technology devices (ATDs) and larger per capita expenditures on ATDs than under supervised community center-based online applications. Methods Using the data from the Assistive Devices Resource Centre in Shanghai, descriptive statistics were estimated for the sociodemographics of applicants. Multiple linear regression and logistic regression were used to test the effect of the introduction of home-based online applications. Results In 2015-2016, there were marked increases of 22.3% in the total number of ATDs and 27.2% in the total expenditure on ATDs compared with 2013-2014. The per capita number and expenditure also demonstrated an increasing trend. More devices were applied for in 2015-2016 than in 2013-2014, yielding a higher expenditure per capita (P < .001). Interestingly, with an invisible price, more devices were applied for at home than in community centers (P < .001), but the expenditure per capita was smaller (P < .001). Conclusions The introduction of online applications increased the number of ATDs per capita. The home-based applications induced the purchase of more ATDs but not higher expenditures on ATDs. Individuals with disabilities tend to request the maximum number of ATDs allowed by the application rules, which is an indicator of moral hazard. The prices of ATDs were not visible for individuals with disabilities, which may cause individuals to order costlier ATDs when applying at home. Stricter review may be needed to reign in the potential moral hazard among online applicants with disabilities.;Huang, Xiaojing/0000-0002-6702-3202;0749-6753;1099-1751;;JUL;2020;35;4;;897;909;;10.1002/hpm.2972;http://dx.doi.org/10.1002/hpm.2972;WOS:000505866400001
J;"Carrasquillo, O; Lantigua, RA; Shea, S";"Carrasquillo, O; Lantigua, RA; Shea, S";Differences in functional status of Hispanic versus non-Hispanic white elders: Data from the medical expenditure panel survey;JOURNAL OF AGING AND HEALTH;Objectives: Few national studies have focused specifically on the functional status of Hispanic elders. We examined the prevalence of functional limitations and disabilities among Hispanic and Black elders compared to non-Hispanic Whites. Methods: We analyzed seven measures of functional limitations, disabilities, and dependencies. Logistic regression was used to examine racial and ethnic group differences adjusting for age, gender, and education. Results: Compared to non-Hispanic Whites, Hispanics tended to report greater instrumental activities of daily living (IADL) dependencies and cognitive disabilities. Blacks were more likely to have activities of daily living (ADL) and IADL dependencies and require use of assistive devices compared to non-Hispanic Whites. Further adjustment for respondent status reduced differences between groups, but these models may overadjust for functional status differences. Discussion: Given the projected growth of minority elders, policymakers and planners will need to consider race and ethnic differentials in functional status in determining future medical and social service needs.;;0898-2643;;;AUG;2000;12;3;;342;361;;10.1177/089826430001200304;http://dx.doi.org/10.1177/089826430001200304;WOS:000088560300004
J;"Borg, SJ; Borg, DN; Arora, M; Middleton, JW; Marshall, R; Nunn, A; Geraghty, T";"Borg, Samantha J.; Borg, David N.; Arora, Mohit; Middleton, James W.; Marshall, Ruth; Nunn, Andrew; Geraghty, Timothy";Factors Related to Engagement in Employment After Spinal Cord Injury in Australia: A Cross-sectional Study;ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION;"Objective: To explore the association between sociodemographic, health, functional independence, and environmental variables with engagement in paid work for people with spinal cord injury (SCI). Design: Self-reported, cross-sectional Australian data from a large international SCI survey. Setting: Community-based. Participants: 1189 working-age people with SCI (18-67 years) or aged >67 years and engaged in paid employment. Respondents were community based and at least 1 year after injury. Interventions: Not applicable. Main Outcome Measures: Employment and work integration variables. Bayesian penalized regression was used to determine associations between 23 predictor variables and engagement in paid work. Results: Most participants (87%) were employed pre-injury, with 39% in paid employment at the time of the survey. Participants who attained a master's/doctoral degree (odds ratio [OR]=3.01; 95% credible interval [CrI], 1.63, 5.44) and those married (OR=1.68; 95% CrI, 1.13, 2.49) were more likely to be engaged in paid work. Women (OR=0.55; 95% CrI, 0.37, 0.81), people receiving a disability pension (OR=0.17; 95% CrI, 0.13, 0.24), and older participants (OR=0.75; 95% CrI, 0.63, 0.90) were less likely to be in paid work. Working participants identified hardships including problems completing their work (60%) and accessing the workplace (32%), as well as unmet needs relating to assistive devices required for completing their work (50%). Conclusions: Findings from the current study can assist in directing resources to subgroups within the SCI population who need greater assistance or intervention related to employment outcomes, including through vocational rehabilitation services/programs. Unmet needs and workplace issues expressed by employed individuals identify gaps in work integration and satisfaction that could affect employment sustainability that need to be addressed. (C) 2022 by the American Congress of Rehabilitation Medicine.";"Borg, David/0000-0002-0152-571X; Geraghty, Timothy/0000-0002-8571-8315; BORG, Samantha/0000-0003-1376-5320";0003-9993;1532-821X;;DEC;2022;103;12;;2345;2354;;10.1016/j.apmr.2022.04.011;http://dx.doi.org/10.1016/j.apmr.2022.04.011;WOS:000925044000010
